18:32:47 : INFO : adding document #0 to Dictionary(0 unique tokens: [])
18:34:08 : INFO : adding document #10000 to Dictionary(439044 unique tokens: [u'biennials', u'tripolitan', u'oblocutor', u'woode', u'maderista']...)
18:35:17 : INFO : adding document #20000 to Dictionary(626655 unique tokens: [u'biennials', u'tripolitan', u'oblocutor', u'shatzky', u'woode']...)
18:36:13 : INFO : adding document #30000 to Dictionary(763069 unique tokens: [u'tripolitan', u'oblocutor', u'shatzky', u'dulcitone', u'maderista']...)
18:37:05 : INFO : adding document #40000 to Dictionary(884031 unique tokens: [u'tripolitan', u'oblocutor', u'shatzky', u'dulcitone', u'maderista']...)
18:37:44 : INFO : adding document #50000 to Dictionary(963579 unique tokens: [u'tripolitan', u'oblocutor', u'shatzky', u'dulcitone', u'sowela']...)
18:38:10 : INFO : adding document #60000 to Dictionary(981564 unique tokens: [u'tripolitan', u'oblocutor', u'shatzky', u'dulcitone', u'sowela']...)
18:38:33 : INFO : adding document #70000 to Dictionary(998977 unique tokens: [u'tripolitan', u'oblocutor', u'shatzky', u'dulcitone', u'sowela']...)
18:38:53 : INFO : adding document #80000 to Dictionary(1013927 unique tokens: [u'tripolitan', u'verplank', u'oblocutor', u'shatzky', u'dulcitone']...)
18:39:36 : INFO : adding document #90000 to Dictionary(1096089 unique tokens: [u'tripolitan', u'verplank', u'oblocutor', u'shatzky', u'dulcitone']...)
18:40:24 : INFO : adding document #100000 to Dictionary(1194800 unique tokens: [u'tripolitan', u'verplank', u'oblocutor', u'shatzky', u'dulcitone']...)
18:41:07 : INFO : adding document #110000 to Dictionary(1283262 unique tokens: [u'tripolitan', u'verplank', u'oblocutor', u'shatzky', u'dulcitone']...)
18:41:49 : INFO : adding document #120000 to Dictionary(1360811 unique tokens: [u'tripolitan', u'verplank', u'oblocutor', u'shatzky', u'dulcitone']...)
